Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 242,Non,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Non
Rule: 243,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 244,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 245,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 246,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 247,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 248,Non,Non,Non,Non,Non,Reversible,Non,Non,Non,Non
Rule: 249,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 250,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 251,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 252,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 253,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 254,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 255,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
